SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,FreightRateType,FreightPercent,FreightAmount,LocalDelivery,Model,MSRP,Package,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,RequiredSKU1,RequiredSKU1Qty,SKU1Requires1,SKU1Requires1Qty,SKU1Requires2,SKU1Requires2Qty,RequiredSKU2,RequiredSKU2Qty,SKU2Requires1,SKU2Requires1Qty,SKU2Requires2,SKU2Requires2Qty,RequiredSKU3,RequiredSKU3Qty,SKU3Requires1,SKU3Requires1Qty,SKU3Requires2,SKU3Requires2Qty,YZ252,YZ260,YZ360,YZ372,YZ460,YZ472,GROUP_SA223,SA223KBH-L,GROUP_SA325,GROUP_SA425,GROUP_SA425DHX,GROUP_YT235,GROUP_YT235C,GROUP_YT347,GROUP_YT347C,GROUP_YT359,GROUP_YT359C,GROUP_YM225,GROUP_YM232,GROUP_YM238,GROUP_YM342,GROUP_YM347,GROUP_YM359,GROUP_SM240,GROUP_SM240H,GROUP_SM475
REARRV-YT2P,Rear Remote,T,250,F,2.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,76.56,,REARRV-YT2P,1595,,,Accessory, ,0,0,T,,,,,,,,353,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,
RMIRKIT-YT3P,Mirror Kit - Rear View,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,3.12,,RMIRKIT-YT3P,65,,,Accessory, ,0,0,T,,,,,,,,354,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,,,,,,,,,
SS200-SA,Sunshade,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,32.64,,SS200-SA,680,,,Accessory, ,0,0,T,,,,,,,,355,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,T,,,,,,,,,,,,,,,,
SSTEP-YT3CP,Right Step,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,5.76,,SSTEP-YT3CP,120,,,Accessory, ,0,0,T,,,,,,,,,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,,,,,,,,,
SSTEP-YT3P,Right Step,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,5.76,,SSTEP-YT3P,120,,,Accessory, ,0,0,T,,,,,,,,,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,,,,,,,,,,
STPBK-B85P,Power Beyond Kit,T,250,F,2.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,11.28,,STPBK-B85P,235,,,Accessory, ,0,0,T,,,,,,,,358,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T, ,T,T,,,,T,T,T,T,,,,,,,,,
STPKT-B75P,Backhoe Street Pads,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,10.56,,STPKT-B75P,220,,,Accessory, ,0,0,T,,,,,,,,359,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,T,T,T,T,T,T,T,T,T,,,
SUSPS-SAP,Suspension Seat,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,38.82,,SUSPS-SAP,808,,,Accessory, ,0,0,T,,,,,,,,360,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,T,T,, ,,,,,,,,,,,,,
SUSPS-YM2P,Suspension Seat,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,46.44,,SUSPS-YM2P,967,,,Accessory, ,0,0,T,,,,,,,,361,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUSPS-YM3P,Suspension Seat,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,47.7,,SUSPS-YM3P,994,,,Accessory, ,0,0,T,,,,,,,,,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,,,
SUSPS-YT2P,Suspension Seat,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,47.34,,SUSPS-YT2P,986,,,Accessory, ,0,0,T,,,,,,,,363,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,
SUSPS-YT3P,Suspension Seat,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,47.7,,SUSPS-YT3P,994,,,Accessory, ,0,0,T,,,,,,,,,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,T,,,,,,,,,
SVKIT-YT3P,Sun Visor Kit,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,5.58,,SVKIT-YT3P,116,,,Accessory, ,0,0,T,,,,,,,,365,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,,,,,,,,,
TBKIT-SAP,Tool Box,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,4.08,,TBKIT-SAP,85,,,Accessory, ,0,0,T,,,,,,,,366,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,T,T,,,,,,,,,,,,,,,
TBKIT-YT3P,Side Storage Console,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,4.74,,TBKIT-YT3P,98,,,Accessory, ,0,0,T,,,,,,,,367,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,,,,,,,,,,
THUMB-65M-SA,Thumb Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,34.08,,THUMB-65M-SA,710,,,Accessory, ,0,0,T,,,,,,,,368,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THUMB-B65P,Thumb Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,40.8,,THUMB-B65P,850,,,Accessory, ,0,0,T,,,,,,,,369,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T, ,T,T,,,,,,,,,,,,,,,,
THUMB-B75P,Mechanical Thumb,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,34.08,,THUMB-B75P,710,,,Accessory, ,0,0,T,,,,,,,,370,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,
TIREKAGL-YM3P,Ag Tires,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,283.98,,TIREKAGL-YM3P,5916,,,Accessory, ,0,0,T,,,,,,,,371,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,
TIREKAG-YT2P,Ag Tires,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,103.32,,TIREKAG-YT2P,2153,,,Accessory, ,0,0,T,,,,,,,,372,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,
TIREKAG-YT3P,Ag Tires,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,189.3,,TIREKAG-YT3P,3944,,,Accessory, ,0,0,T,,,,,,,,373,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,T,,,,T,T,,,,
TIREKINDL-YM3P,Industrial Tires,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,189.3,,TIREKINDL-YM3P,3944,,,Accessory, ,0,0,T,,,,,,,,374,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,
TIREKIND-YT2P,Industrial Tires,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,103.32,,TIREKIND-YT2P,2153,,,Accessory, ,0,0,T,,,,,,,,375,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,
TIREKIND-YT3P,Industrial Tires,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,189.3,,TIREKIND-YT3P,3944,,,Accessory, ,0,0,T,,,,,,,,376,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,T,,,,T,T,,,,
TIREKTF-YT2P,Turf Tires,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,103.32,,TIREKTF-YT2P,2153,,,Accessory, ,0,0,T,,,,,,,,377,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,
TIREKTF-YT3P,Turf Tires,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,189.3,,TIREKTF-YT3P,3944,,,Accessory, ,0,0,T,,,,,,,,378,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,T,,,,T,T,T,,,
TVK-YL110P,3rd Function Kit,T,400,F,4,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,34.86,,TVK-YL110P,726,,,Accessory, ,0,0,T,,,,,,,,379,,,Accessory,T,,,,,,,,,,,,,,YL110-SAP,1,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,
TVK-YL210P,3rd Function Kit,T,400,F,4,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,34.86,,TVK-YL210P,726,,,Accessory, ,0,0,T,,,,,,,,380,,,Accessory,T,,,,,,,,,,,,,,YL210-SAP,1,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,,,,,,,,,,,,,,,
TVK-YL310P,3rd Function Kit,T,400,F,4,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,57.06,,TVK-YL310P,1189,,,Accessory, ,0,0,T,,,,,,,,381,,,Accessory,T,,,,,,,,,,,,,,YL310-YT2P,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,
TVK-YL405P,3rd Function Kit,T,400,F,4,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,47.7,,TVK-YL405P,994,,,Accessory, ,0,0,T,,,,,,,,382,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,,,,,,
TVK-YL605P,3rd Function Kit,T,400,F,4,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,49.98,,TVK-YL605P,1041,,,Accessory, ,0,0,T,,,,,,,,383,,,Accessory,T,,,,,,,,,,,,,,YL605-YM34P,1,,,,,YL605-YM35P,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,,,
TVK-YL610P,3rd Function Kit,T,400,F,4,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,58.2,,TVK-YL610P,1213,,,Accessory, ,0,0,T,,,,,,,,,,,Accessory,T,,,,,,,,,,,,,,YL610B-YT34P,1,,,,,YL610B-YT35P,1,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,T,,,,,,,,,
WLKITC-YT2P,Worklight Kit,T,150,F,1.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,11.46,,WLKITC-YT2P,239,,,Accessory, ,0,0,T,,,,,,,,385,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,
WLKITC-YT3P,Work Light Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,11.46,,WLKITC-YT3P,239,,,Accessory, ,0,0,T,,,,,,,,386,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,,,,,,,,,
WLKITG-SAP,Worklight,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,11.52,,WLKITG-SAP,240,,,Accessory, ,0,0,T,,,,,,,,387,,,Accessory,T,,,,,,,,,,,,,,GGUARD-SAP,1,,,,,,,,,,,,,,,,,,,,,,,T,,T,T,T,,,,,,,,,,,,,,,
WLKITLEDC-YT3P,LED Work Lamp Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,11.46,,WLKITLEDC-YT3P,239,,,Accessory, ,0,0,T,,,,,,,,388,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,,,,,,,,,
WLKITLED-YM2P,LED Work Light,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,22.14,,WLKITLED-YM2P,461,,,Accessory, ,0,0,T,,,,,,,,,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,,,,,,
WLKITLED-YM3P,LED Work Lights,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,19.32,,WLKITLED-YM3P,331,,,Accessory, ,0,0,T,,,,,,,,390,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,,,
WLKIT-SAP,Worklight Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,11.52,,WLKIT-SAP,240,,,Accessory, ,0,0,T,,,,,,,,391,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,T,T,,,,,,,,,,,,,,,
WLKIT-YT2P,Worklight Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,11.46,,WLKIT-YT2P,239,,,Accessory, ,0,0,T,,,,,,,,392,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,
WLKIT-YT3P,Work Light Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,11.46,,WLKIT-YT3P,239,,,Accessory, ,0,0,T,,,,,,,,393,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,,,,,,,,,,
WPRKIT-YT2P,Wiper Kit,T,150,F,1.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,11.82,,WPRKIT-YT2P,246,,,Accessory, ,0,0,T,,,,,,,,394,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,
WPRKIT-YT3P,Wiper Kit,T,150,F,1.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,14.16,,WPRKIT-YT3P,295,,,Accessory, ,0,0,T,,,,,,,,395,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,,,,,,,,,
WSP-YT2P,Rear Wheel Spacer,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,23.58,,WSP-YT2P,491,,,Accessory, ,0,0,T,,,,,,,,396,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,
YBHFH48,"48"" Front Blade",T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,106.5,,YBHFH48,2219,,,Accessory, ,0,0,T,,,,,,,,397,,,Accessory,T,,,,,,,,,,,,,,FHKIT-SA22P,1,ANGLEKIT-SAP,1,,,FHKIT-SA32P,1,ANGLEKIT-SAP,1,,,ANGLEKIT-SAP,1,,,,,,,,,,,T,,T,T,T,,,,,,,,,,,,,,,
YZAS234,Anti-Scalp Wheel Kit,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,3.84,,YZAS234,91,,,Accessory, ,0,0,T,,,,,,,,398,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
YZBK252,"52"" Bagger Kit",T,150,F,1.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,10.08,,YZBK252,240,,,Accessory, ,0,0,T,,,,,,,,399,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,
YZBK260,"60"" Bagger Kit",T,150,F,1.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,10.08,,YZBK260,240,,,Accessory, ,0,0,T,,,,,,,,400,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,
YZBK360-460,"60"" Bagger Kit",T,150,F,1.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,10.08,,YZBK360-460,240,,,Accessory, ,0,0,T,,,,,,,,401,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,,,,,,,,,,,,,,,,,,,,,
YZBK472,"72"" Bagger Kit",T,150,F,1.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,10.08,,YZBK472,240,,,Accessory, ,0,0,T,,,,,,,,402,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,
YZDL300-400,Electric Deck Lift Kit,T,150,F,1.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,55.86,,YZDL300-400,1330,,,Accessory, ,0,0,T,,,,,,,,403,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,T,,,,,,,,,,,,,,,,,,,,
YZEK234,Entry Assist Handle Kit,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,4.26,,YZEK234,94,,,Accessory, ,0,0,T,,,,,,,,404,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
YZHK234,Hitch Kit,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,3.42,,YZHK234,81,,,Accessory, ,0,0,T,,,,,,,,405,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
YZLK200,Light Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,11.46,,YZLK200,254,,,Accessory, ,0,0,T,,,,,,,,406,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,
YZLK300-400,Light Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,11.46,,YZLK300-400,254,,,Accessory, ,0,0,T,,,,,,,,407,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,T,,,,,,,,,,,,,,,,,,,,
YZMK252,"Mulch Kit (52"" Deck)",T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,15.9,,YZMK252,353,,,Accessory, ,0,0,T,,,,,,,,408,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,
YZMK260,"Mulch Kit (60"" Deck)",T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,15.9,,YZMK260,353,,,Accessory, ,0,0,T,,,,,,,,409,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,
YZMK360-460,"Mulch Kit (60"" Deck)",T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,15.9,,YZMK360-460,353,,,Accessory, ,0,0,T,,,,,,,,410,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,,,,,,,,,,,,,,,,,,,,,
YZMK372-472,"Mulch Kit (72"" Deck)",T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,26.52,,YZMK372-472,589,,,Accessory, ,0,0,T,,,,,,,,411,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,,,,,,,,,,,,,,,,,,,,
