SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,FreightRateType,FreightPercent,FreightAmount,LocalDelivery,Model,MSRP,Package,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,RequiredSKU1,RequiredSKU1Qty,SKU1Requires1,SKU1Requires1Qty,SKU1Requires2,SKU1Requires2Qty,RequiredSKU2,RequiredSKU2Qty,SKU2Requires1,SKU2Requires1Qty,SKU2Requires2,SKU2Requires2Qty,RequiredSKU3,RequiredSKU3Qty,SKU3Requires1,SKU3Requires1Qty,SKU3Requires2,SKU3Requires2Qty,YZ252,YZ260,YZ360,YZ372,YZ460,YZ472,GROUP_SA223,SA223KBH-L,GROUP_SA325,GROUP_SA425,GROUP_SA425DHX,GROUP_YT235,GROUP_YT235C,GROUP_YT347,GROUP_YT347C,GROUP_YT359,GROUP_YT359C,GROUP_YM225,GROUP_YM232,GROUP_YM238,GROUP_YM342,GROUP_YM347,GROUP_YM359,GROUP_SM240,GROUP_SM240H,GROUP_SM475
FRAKIT-SAP,French Manual,T,0,F,0,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,0,,FRAKIT-SAP,0,,,Accessory, ,0,0,T,,,,,,,,316,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,T,T,,,,,,,,,,,,,,,
FRAKIT-YL110P,French Manual,T,0,F,0,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,0,,FRAKIT-YL110P,0,,,Accessory, ,0,0,T,,,,,,,,317,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,T,T,,,,,,,,,,,,,,,
FRAKIT-YL610P,French Operator Manual,T,0,F,0,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,0,,FRAKIT-YL610P,0,,,Accessory, ,0,0,T,,,,,,,,318,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,T,,,,,,,,,
FRAKIT-YT2P,French Operator Manual,T,0,F,0,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,0,,FRAKIT-YT2P,0,,,Accessory, ,0,0,T,,,,,,,,319,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,
FRAKIT-YT3P,French Operator Manual,T,0,F,0,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,0,,FRAKIT-YT3P,0,,,Accessory, ,0,0,T,,,,,,,,320,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,T,,,,,,,,,
FW44LBSD,Weight (44 lb.),T,0,F,0,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,4.92,,FW44LBSD,103,,,Accessory, ,0,0,T,,,,,,,,321,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,,,
FWBKTD-SA,Front Weight Bracket,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,19.14,,FWBKTD-SA,399,,,Accessory, ,0,0,T,,,,,,,,322,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,T,T,,,T,T,T,T,T,T,T,T,T,T,,,
FWBKT-YT2P,Front Weight Bracket,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,27.9,,FWBKT-YT2P,582,,,Accessory, ,0,0,T,,,,,,,,323,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,
FWEKT-YT2P,Front Weight Extension,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,25.32,,FWEKT-YT2P,528,,,Accessory, ,0,0,T,,,,,,,,324,,,Accessory,T,,,,,,,,,,,,,,FWBKTD-SA,1,,,,,FWBKT-YT2P,1,,,,,,,,,,,,,,,,,,,,,,T,T,T,T,T,T,T,T,T,T,T,T,,,
FWPKT-YT2P,Front Weight Pin,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,16.2,,FWPKT-YT2P,338,,,Accessory, ,0,0,T,,,,,,,,,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,
