SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,ImageURL,Ah,BatteryID,MaxVoltage,RatedCycles,Voltage,WeightLb,WeightKg,Weight,WeightUnit,Wh,ChargerID1,Charger1 80%,Charger1 100%,ChargerID2,Charger2 80%,Charger2 100%,ChargerID3,Charger3 80%,Charger3 100%,ChargerID4,Charger4 80%,Charger4 100%,ChargerID5,Charger5 80%,Charger5 100%,ChargerID6,Charger6 80%,Charger6 100%,ChargerID7,Charger7 80%,Charger7 100%,ChargerID8,Charger8 80%,Charger8 100%,ChargerID9,Charger9 80%,Charger9 100%,ChargerID10,Charger10 80%,Charger10 100%,Notes
669081,DP5080CBNA - 8Ah Battery,T,0,T,0,HONDA,Batteries,HANDHELD,T,T,T,HONDA_SPECIAL_40,F,DP5080CBNA,429,Battery,Battery,0,0,0,,,,,,,,,103,,,HONDA_BATTERY,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669091,DP50120CBNA - 12Ah Battery,T,0,T,0,HONDA,Batteries,HANDHELD,T,T,T,HONDA_SPECIAL_40,F,DP50120CBNA,599,Battery,Battery,,0,0,,,,,,,,,104,,,HONDA_BATTERY,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
