SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,RequiredEngineHPMin,RequiredEngineHPMax,RequiredPTOHPMin,RequiredPTOHPMax,RequiredSKU1,RequiredSKU1Qty,SKU1Requires1,SKU1Requires1Qty,SKU1Requires2,SKU1Requires2Qty,RequiredSKU2,RequiredSKU2Qty,SKU2Requires1,SKU2Requires1Qty,SKU2Requires2,SKU2Requires2Qty,RequiredSKU3,RequiredSKU3Qty,SKU3Requires1,SKU3Requires1Qty,SKU3Requires2,SKU3Requires2Qty,YZ252,YZ260,YZ360,YZ372,YZ460,YZ472,GROUP_SA223,SA223KBH-L,GROUP_SA325,GROUP_SA425,GROUP_SA425DHX,GROUP_YT235,GROUP_YT235C,GROUP_YT347,GROUP_YT347C,GROUP_YT359,GROUP_YT359C,GROUP_YM225,GROUP_YM232,GROUP_YM238,GROUP_YM342,GROUP_YM347,GROUP_YM359,GROUP_SM240,GROUP_SM240H,GROUP_SM475,WeightLb,WeightKg,Weight,WeightUnit,SpecLabel1,SpecValue1,SpecLabel2,SpecValue2,SpecLabel3,SpecValue3,SpecLabel4,SpecValue4,SpecLabel5,SpecValue5,SpecLabel6,SpecValue6,SpecLabel7,SpecValue7,SpecLabel8,SpecValue8,SpecLabel9,SpecValue9,SpecLabel10,SpecValue10
THUMB-B85P,Mechanical Thumb Kit,T,100,T,1,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,THUMB-B85P,1369,,Attachment, ,0,0,T,,,,,,,,287,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBB104,Yanmar YBB104 - 4' Box Blade,T,100,T,1,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YBB104,1351,,Attachment,,0,0,T,,,,,,,Tarter,438,,Box Blade,Attachment,T,,,,,,,,,,,,,,15,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,,,245 lb (111 kg),Required Engine Hp,15 - 18,Required PTO Hp, ,Hitch Type,Limited Category 1,Quick Hitch Compatible,Yes,Working Width,49.25 in,Number of Shanks,4,,,,,,,,
YBB205,Yanmar YBB205 - 5' Box Blade,T,100,T,1,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YBB205,1469,,Attachment,,0,0,T,,,,,,,Tarter,439,,Box Blade,Attachment,T,,,,,,,,,,,,,,18,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,,,395 lb (179 kg),Required Engine Hp,18 - 35,Required PTO Hp, ,Hitch Type,Category 1,Quick Hitch Compatible,Yes,Working Width,60.75 in,Number of Shanks,5,,,,,,,,
YBB206,Yanmar YBB206 - 6' Box Blade,T,100,T,1,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YBB206,1592,,Attachment,,0,0,T,,,,,,,Tarter,440,,Box Blade,Attachment,T,,,,,,,,,,,,,,20,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,,,445 lb (202 kg),Required Engine Hp,20 - 45,Required PTO Hp, ,Hitch Type,Category 2,Quick Hitch Compatible,Yes,Working Width,72.75 in,Number of Shanks,6,,,,,,,,
YBB306,Yanmar YBB306 - 6' Box Blade,T,100,T,1,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YBB306,1960,,Attachment,,0,0,T,,,,,,,Tarter,441,,Box Blade,Attachment,T,,,,,,,,,,,,,,20,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474,,,474 lb (215 kg),Required Engine Hp,20 - 50,Required PTO Hp, ,Hitch Type,Category 3,Quick Hitch Compatible,Yes,Working Width,73.50 in,Number of Shanks,6,,,,,,,,
YBB307,Yanmar YBB307 - 7' Box Blade,T,100,T,1,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YBB307,2081,,Attachment,,0,0,T,,,,,,,Tarter,442,,Box Blade,Attachment,T,,,,,,,,,,,,,,25,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,,,510 lb (231 kg),Required Engine Hp,25 - 65,Required PTO Hp, ,Hitch Type,Category 4,Quick Hitch Compatible,Yes,Working Width,85.50 in,Number of Shanks,6,,,,,,,,
YBHFH72,"72"" Front Blade",T,100,T,1,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,YBHFH72,2011,,Attachment, ,0,0,T,,,,,,,,288,,,Attachment,T,,,,,,,,,,,,,,,,,,FHKIT-SA22P,1,ANGLEKIT-SAP,1,,,FHKIT-SA32P,1,ANGLEKIT-SAP,1,,, , ,,,,,,,,,,,T,,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBLSA72,"72"" Front Blade (Loader Mount)",T,100,T,1,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,YBLSA72,2011,,Attachment, ,0,0,T,,,,,,,,289,,,Attachment,T,,,,,,,,,,,,,,,,,,YL110-SAP,1,,,,,YL210-SAP,1,,,,,,,,,,,,,,,,,T, ,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBP20,Yanmar YBP20 Boom Pole,T,100,T,1,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YBP20,374,,Attachment,,0,0,T,,,,,,,Tarter,481,,Boom Pole,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBP30,Yanmar YBP30 Boom Pole,T,100,T,1,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YBP30,739,,Attachment,,0,0,T,,,,,,,Tarter,482,,Boom Pole,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
