SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,WarrantyResidentialUse,WarrantyCommercialUse,WeightLb,WeightKg,Weight,WeightUnit,SpecLabel1,SpecValue1,SpecLabel2,SpecValue2,SpecLabel3,SpecValue3,SpecLabel4,SpecValue4,SpecLabel5,SpecValue5,SpecLabel6,SpecValue6,SpecLabel7,SpecValue7,SpecLabel8,SpecValue8,SpecLabel9,SpecValue9,SpecLabel10,SpecValue10,ImageURL,InventoryURL,ManualURL,ProductURL,Notes
YM225GXA,Yanmar YM225GXA Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM225GXA,22199,Diesel,Tool,,0,1,T,2026-09-30,2026-08-01,500,,,,YM225,102,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM225GXA-TL,Yanmar YM225GXA-TL Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM225GXA-TL,30199,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,1900,,,,YM225,103,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM225GXA-TLB,Yanmar YM225GXA-TLB Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM225GXA-TLB,46599,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,2200,,,,YM225,104,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM225GXI,Yanmar YM225GXI Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM225GXI,22199,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,500,,,,YM225,105,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM225GXI-TL,Yanmar YM225GXI-TL Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM225GXI-TL,30199,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,1900,,,,YM225,106,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM225GXI-TLB,Yanmar YM225GXI-TLB Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM225GXI-TLB,46599,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,2200,,,,YM225,107,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM225GXT,Yanmar YM225GXT Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM225GXT,22199,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,500,,,,YM225,108,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM225GXT-TL,Yanmar YM225GXT-TL Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM225GXT-TL,30199,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,1900,,,,YM225,109,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM225GXT-TLB,Yanmar YM225GXT-TLB Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM225GXT-TLB,46599,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,2200,,,,YM225,110,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM232GXA,Yanmar YM232GXA Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM232GXA,24999,Diesel,Tool,,0,1,T,2026-09-30,2026-08-01,500,,,,YM232,113,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM232GXA-TL,Yanmar YM232GXA-TL Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM232GXA-TL,33299,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,1900,,,,YM232,114,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM232GXA-TLB,Yanmar YM232GXA-TLB Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM232GXA-TLB,49699,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,2200,,,,YM232,115,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM232GXI,Yanmar YM232GXI Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM232GXI,24999,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,500,,,,YM232,116,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM232GXI-TL,Yanmar YM232GXI-TL Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM232GXI-TL,33299,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,1900,,,,YM232,117,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM232GXI-TLB,Yanmar YM232GXI-TLB Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM232GXI-TLB,49699,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,2200,,,,YM232,118,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
